word;translation;comment
agricultural ;agrarisch, landbouw;
be on track to do sth;op schema liggen om iets te doen;
biodiversity;biodiversiteit;
boost;opvoeren;
catastrophic;katastrofaal;
constitute;vormen;
consume;consumeren;
consumption;consumptie;
contribute to sth;bijdragen aan iets;
contributor to sth;medewerker van iets;
critical/essential;ernstig / essentieel;
deforestation;ontbossing;
devote;wijden aan;
expansion;uitbreiding / expansie;
farming;landbouw;
greenhouse gas emissions;broeikasgasemissies;
hold your horses!;rustig aan!;
manure;mest;
mutton;schapenvlees;
pigs might fly;geloof je het zelf? / dat gaat nooit gebeuren!;
poultry;gevogelte;
quadruple ;verviervoudigen;
radical;radicaal;
remorseless;meedogenloos;
substantial;wezenlijk / behoorlijk;
sustain;behouden;
sustainable;duurzaam;
take the bull by the horns;de koe bij de hoorns vatten;
unpardonable;onvergeeflijk;
veal;kalfsvlees;
wheat;tarwe;
wild goose chase;hopeloze onderneming;
act for sb's own advantage;in iemands eigenbelang handelen;
amplify the message;de boodschap versterken;
anti-capitalist;antikapitalistisch;
be active on the climate front;actief zijn op het klimaatfront;
boost;opvoeren;
caring individual;zorgzaam individu;
cheapen the brand;het imago schaden;
climate summit;klimaattop;
come about;tot stand komen;
contribute to sth;bijdragen aan iets;
cross-cultural;multicultureel;
cultivate an image ;een imago cultiveren;
cynical;cynisch;
day in and day out;dag in, dag uit;
deer;hert;
devote;wijden (aan);
endorse;onderschrijven / ondersteunen;
endorsement;steunbetuiging;
environmental action/damage;milieuactie / schade;
follower;volger;
have a track record of engagement;een staat van dienst in engagement hebben;
high-profile;high-profile;
hinder;hinderen;
humanitarian assistance/aid;humanitaire assistentie / hulp;
humanitarian cause;humanitaire zaak;
lend sb's name to sth;iemands naam aan iets verbinden;
peacekeeping forces;vredestroepen;
peacekeeping mission;vredesmissie;
(philanthropic) foundation/aid;(filantropische) stichting / hulp;
pose problems;problemen opleveren;
publicity;publiciteit;
put sth on the map;iets op de kaart zetten;
raise the profile of sth;het imago van iets verhogen / bekendheid van iets vergroten;
real estate;onroerend goed;
shine a spotlight on sth;iets in de schijnwerpers zetten;
spread/raise awareness;bewustzijn verspreiden / verhogen;
unwavering commitment;niet-aflatende inzet;
verdict;oordeel / beslissing;
with the aim of;met als doel;
collapse;instorten;
consecutive;opeenvolgend;
crops;gewassen;
devastating;verwoestend;
empathise with sb;je inleven in iemand / meevoelen met iemand;
evaluate;(in)schatten;
flash flood;vloedgolf / plotselinge overstroming;
flee one's home;je huis ontvluchten;
industrial plant;industriële installatie / fabriek;
leak;lekken;
power line;hoogspanningsleiding;
sewerage;riolering;
toxic waste;giftig afval;
emerging economies;opkomende economieën;
flocks of people;massa's mensen / mensenmassa's;
inevitable;onvermijdelijk;
live by society's rules;leven volgens de regels van de samenleving;
make room for sb/sth;ruimte maken voor iemand / iets;
migrate;migreren;
overpopulation;overbevolking;
population boom;bevolkingsexplosie;
cub;welp;
eradicate;uitroeien;
factor sth in;rekening houden met iets;
flourish;floreren;
irrigate;irrigeren;
monitor;monitoren / bewaken;
ongoing project;lopend project;
predator;roofdier;
prey;prooi;
reintroduce;herintroduceren;
upset the natural balance;de natuurlijke balans verstoren;
vital;vitaal;
be inclined to believe that ...;geneigd zijn te geloven dat ...;
consumption;consumptie;
devastating;verwoestend;
fossil fuels;fossiele brandstoffen;
greenhouse gas emissions;broeikasgasemissies;
occurrence;voorval / gebeurtenis;
regardless;hoe dan ook;
spread/raise awareness;bewustzijn verspreiden / verhogen;
stop sth in its tracks;iets tegenhouden;
tackle;aanpakken;
